pop_change_cf_to_baseline_10,pop_change_cf_to_baseline_20,citygb
-2.5490454015358,-3.85977732548224,1101
-3.35670281258009,-5.64044109101096,1201
-2.1934837831681,-3.96981125067455,1301
-1.23983627662889,-2.26688750054154,1302
0.446875370869249,0.649538428875185,1303
-2.50012249761613,-4.78123063971678,1304
-2.58645531751172,-4.66293680776051,1305
-1.27623360979969,-2.39211117247082,1306
-0.0788650906417887,0.00342301692748403,1307
0.0877393249480218,0.412530026255187,1308
-0.727117144239076,-1.41719027040721,1309
-2.11525812051145,-3.84368608193619,1310
-0.361724328041757,-0.634662867672464,1311
1.07218051094853,1.69444678801952,1401
3.51457535223978,5.73765402441485,1402
0.710461302285892,0.443540223694305,1403
6.85966201927432,12.4179573140111,1404
2.96381492704743,5.75378223870082,1405
4.40362142486058,7.07585687740171,1406
4.82552511580314,7.90193653647094,1407
1.13171776613822,2.32541444620326,1408
2.45853106158991,4.51822390706665,1409
3.54817097622856,6.50747757301867,1410
4.51155055843013,7.84826368940456,1411
5.11375464020358,7.88211830452699,1501
5.11396519569051,7.045884422725,1502
13.2998256838591,13.388175017966,1503
-8.60266572998087,-14.1185511580356,1504
-5.36833134232451,-9.11351345363718,1505
7.15501538567613,9.44151000010989,1506
-2.68982988232667,-3.88334985527272,1507
17.95624400272,23.8472335069827,1508
7.92927140663889,14.6275495165721,1509
-0.976284854820442,-1.01001936024763,1522
-0.3770820577359,1.56719398828902,1525
-2.37557516396356,-4.61144913621894,2101
-1.42405685775036,-2.77293813486994,2102
-2.05503428773495,-3.45613050869613,2103
0.77802885529199,0.755908055010102,2104
-0.0683403163381557,-1.09576582375412,2105
-0.0764121450494759,0.109825033540423,2106
0.0165045087958671,0.488440730164663,2107
-0.549826617993987,-0.722446152592404,2108
1.57123210710057,3.29594114879834,2109
-0.441017992217629,-1.36434420773839,2110
1.11102908152477,0.900321650306268,2111
-0.940555889191108,-1.92139773127784,2112
0.609617636677195,1.20290341673093,2113
0.848367005604822,2.12211425642492,2114
-1.11195241343967,-2.26633514585683,2201
-2.61511982063061,-5.2356959140039,2202
-1.54410513268251,-3.10064225487547,2203
-1.54835752536486,-3.03564064173885,2204
-1.63844070403611,-3.28945975265336,2205
-0.358128254629086,-0.630651527137349,2206
-2.09005869868641,-3.98973003588701,2207
-0.0843226376155082,-0.27225613680204,2208
-0.420104577459179,-0.856699394671345,2224
-2.72562038965911,-5.30762792500052,2301
-1.53838272325102,-2.85116265520227,2302
9.85999037531629,16.2467891995639,2304
7.33150031484141,13.0743805742435,2305
-1.40290233302878,-2.75411166986423,2306
4.8839483033304,9.06608836465984,2307
1.65023791243405,2.75213960244911,2308
7.27024823415818,13.029733583676,2309
-1.67118360779013,-3.11306293778144,2310
5.78692861332486,8.46045225778248,2311
-0.675622561902323,-1.02045862304592,2312
-1.69228890315418,-2.88745241014725,3101
-1.15655110233652,-2.06060796397003,3201
-1.47871897229526,-2.76421093107173,3202
-1.94284665418338,-3.72118746023491,3203
-1.11528667203598,-2.05936288233346,3204
-1.06967910841635,-2.02485380551465,3205
1.10993176844674,2.11326033744804,3206
-1.13189766745934,-1.94774809600478,3207
5.37361651882925,9.94803691790928,3208
-0.687680780340738,-1.04025636917278,3209
1.42334571834026,2.3756518081843,3210
-0.415787868517326,-0.553273933599319,3211
-0.16666708944657,0.0158042451587015,3212
1.6550999977943,3.48640674025117,3213
-0.830054400654401,-1.47208224854831,3301
-0.51387964151417,-0.953790626933237,3302
-0.00555598381162259,0.195414836530849,3303
-0.830147557570005,-1.50651530604535,3304
1.60894559114396,2.79484447415401,3305
-0.502394427275066,-0.511442371601478,3306
4.38176164367914,7.59507889427818,3307
5.11196783669058,9.69864674805162,3308
4.92218094457079,8.05443393491574,3309
0.112072414417408,0.422963281214628,3310
5.13113704282641,7.98492896809623,3311
1.19677659016715,1.97849925796165,3401
1.36404773575153,2.55720378744084,3402
1.41145160596425,2.27417314881124,3403
-1.89600272764225,-3.15950241339458,3404
0.676245180020041,1.08358417605781,3405
0.885384640266274,1.54884183577885,3406
2.47029518641295,4.5190718077103,3408
5.94775762478194,10.666500196066,3410
-1.46362595490932,-2.55220176059026,3411
0.74174831074737,1.5564014697522,3412
-1.35504481560085,-2.09100399399342,3413
2.18637664095508,4.29952691640638,3414
2.47529908856831,5.07465062686873,3415
5.74769206986518,9.98297159842504,3417
1.45261523316077,3.08736883194657,3418
-1.32324699550834,-2.30938901435895,3501
-2.77741096393773,-4.60184058666739,3502
-1.19544345213398,-2.02385156163505,3503
1.97815693066269,3.76985625635632,3504
-1.50603589746658,-2.83000538789773,3505
-2.67624777771087,-5.11294943470595,3506
2.56711854266291,4.79694780461525,3507
-0.724921172491788,-1.34045682704642,3508
-0.594682862036988,-1.10428787039261,3509
1.8628327919807,3.69058567552305,3601
7.29091941000668,12.1912511181768,3602
1.92061862590471,3.63297338106341,3603
2.51804115045534,4.3333380890935,3604
4.76974902295585,7.25402582934861,3606
-1.23553678606225,-1.92453735262357,3607
2.54449363913483,3.57313997510208,3608
2.01254356998248,4.54648332153709,3609
1.21851247676976,2.92959071214625,3610
1.787760351243,3.44151025338345,3611
-1.64927241854973,-3.31291705933567,3701
-0.899568729526545,-1.86744621864205,3702
-1.49213553106939,-2.93201388904045,3703
-1.22808109014403,-2.52244817627985,3704
-0.082833745450861,-0.158319404184959,3705
-1.84127560349707,-3.64546357314854,3706
-2.60741215628677,-4.93377007674314,3707
-1.74010287134327,-3.31890179561511,3708
-1.30897297124215,-2.5361565057918,3709
-0.375060501838331,-0.531715685806944,3710
-0.0504907148524802,-0.309614493394084,3711
-0.825373322443923,-1.94826900772231,3712
-1.73013213797311,-3.29479268509714,3713
-2.19972020294747,-3.9159397488681,3714
-2.49118919124509,-4.68844190300683,3715
-1.18772243211178,-2.23904124927892,3716
-1.51804874051904,-2.8828279651953,3717
-2.91692756999589,-5.47481919938213,4101
-0.673918840740129,-1.04517656545184,4102
-1.3024585767514,-2.46957802921381,4103
-0.357455800132289,-0.63793226601081,4104
-1.65154294884957,-3.06833901271741,4105
-1.68238540103214,-3.14093545527558,4106
-0.896607876097821,-1.69788460075808,4107
-1.59313447790339,-3.03188723789882,4108
-1.31439906507256,-2.4135198429323,4109
-0.753201012528337,-1.3553543767798,4110
-0.828538527036948,-1.3723269348852,4111
-0.407249848255065,-0.606082307606304,4112
0.874159805285146,2.04119028307661,4113
-1.36236461909993,-2.2788599205551,4114
2.0120211050901,4.05447426291444,4115
-0.61019837330436,-0.905825223819368,4116
0.104105266059062,0.305279582878015,4117
-0.541346806575072,-0.9608311696228,4201
2.9908439463273,4.14620720846145,4202
5.37103541461977,9.51012782182926,4203
-1.02051536882439,-1.70646293579737,4205
1.40012485168697,3.1151589617354,4206
4.5799537972818,6.79165696187973,4207
5.52088653050351,10.407850381896,4208
-0.260085188766301,0.307470767542739,4209
-0.111945222700127,0.185822197046104,4210
1.24319307853666,3.05443350861193,4211
1.31747395186051,1.93398272234242,4212
5.61238081017197,9.51095628898765,4213
2.07215751517008,4.49099960854537,4228
-1.44967253180173,-2.53170362409179,4301
-0.673040464806252,-1.20708308434265,4302
-0.401714808806397,-0.784534724154939,4303
1.07615835889355,2.20401776639064,4304
-0.51624926636733,-0.844854375178006,4305
-0.640577987225277,-1.09735482120874,4306
0.0154818128896062,0.237860072034735,4307
-0.0651661920227031,0.160813006092342,4309
3.84894959624069,7.24532763118275,4310
0.491646221341446,1.14237833341567,4311
-0.274003705073689,-0.400572852235914,4312
0.072741601129156,0.00856412285948904,4313
1.45130431003043,2.73162948314042,4331
-4.39039003566903,-7.13466591635992,4401
-2.40566044961843,-4.05117276957496,4402
-4.10012273878253,-5.93315811184152,4403
-2.81308624245176,-4.04319526541617,4404
